CCA,Department.Code...Name,CY.Cases,CY.Units,CY.Direct,CY.Indirect,CY.PROGRAM,CY.Revenue, CY.Charges ,CY.Flowcast..
6751,6751 SMH STRONG WEST MULTI-SPECIALITY SUITE,0,0,125536.5,396105.11,763.36,0,0,1
6752,6752 SMH OSTOMY CENTER,0,0,9.61,0.9,0,14431.38,34994,0
6900,6900 SMH SCHOOL BASED HEALTH PROGRAM,0,0,0,0,0,304959.19,304877.19,1
7030,7030 SMH PSYCH OLDER ADULT SERV OFFSITE,0,0,1255717.61,245079.47,102206.82,21753.48,57787,0.977505202
7270,7270 SMH PSYCH ECT,0,0,637925.79,226265.32,106893.3,13054.34,67960,0.949948709
7400,7400 SMH STRONG TIES CLINIC,0,0,3212405.02,942067.17,720644.5,43044.49,98874,0.987178541
7500,7500 SMH ACT PROGRAM,0,0,1122397.07,254160.4,239906.33,0,0,1
7520,7520 SMH ICM STRONG TIES,0,0,167542.93,14070.97,0.02,0,0,1
7530,7530 SMH SCM STRONG TIES,0,0,0,0,0,0,0,1
7540,7540 SMH STIES CSS CASE MGMT,0,0,0,0,0,0,0,1
7550,7550 SMH BLENDED CASE MGMT,0,0,0,0,0,0,0,1
7560,7560 SMH COURTS PC & E,0,0,72562.96,10469.39,4721.03,0,0,1
7570,7570 SMH PSYCH CRISIS,0,0,0,0,0,0,0,1
7580,7580 SMH PSYCH HEALTH HOME,0,0,2282145.9,403985.62,149739.43,2008699.13,2008699.13,-0.001496237
7800,7800 SMH CPEP - TRIAGE/ EOB,0,0,6593059.3,2809083.89,743281.09,41803.17,266759,0.869891176
7830,7830 SMH CPEP - MOBILE/INTERIM CRISIS,0,0,1114236.82,252146.16,94556.07,0,0,1
7850,7850 SMH PSYCH MEDICINE PROG,0,0,1325971.71,267394.02,311509.31,56717.27,116759.44,0.931405759
7999,7999 SMH PSYCH DEFICIT FUNDING,0,0,0,0,0,839958.5,0,0
