CCA,Department.Code...Name,PY.Cases,PY.Units,PY.Direct,PY.Indirect,PY.PROGRAM,PY.Revenue,PY.Charges,PY.Flowcast..
4310,4310 SMH ENDO CENTER at SAWGRASS,0,0,5279890.05,967041.87,248543.23,2701613.31,12123000,0.45
4330,4330 SMH ASC - SAWGRASS,0,0,16725628.8,4761784.76,1354629.1,1363439.44,1363439.44,0
4400,4400 SMH EPILEPSY,0,0,3087594.33,773712.45,349645.51,1393825.54,4278784.53,0.648182532
4410,4410 SMH GENERAL NEUROLOGY,0,0,1370601.44,191707.52,119806.78,1190870.21,2923202,0.223503661
4411,4411 SMH NEURO IMMUNOLOGY,0,0,548152.47,84902.01,80719.92,878463.93,1854968.48,0.188866203
4412,4412 SMH NEURO ONCOLOGY,0,0,429090.77,59663.54,27596.39,320357.39,630625,0.236669172
4413,4413 SMH NEUROMEDICINE ICU,0,0,509340.42,59424.46,0.2,748390.39,2304490,0
4420,4420 SMH NEUROMUSCULAR DISEASE,0,0,1880453.82,574217.96,382543.84,717526.3,1626512.44,0.835330658
4470,4470 SMH NEURO MIGRAINE CTR,0,0,1926306.36,757792.5,160287.58,273445.7,582555,0.879283959
4480,4480 SMH MOVEMENT DISORDERS,0,0,2634381.38,473885.14,251642.33,504275.42,1267860,0.841349451
4490,4490 SMH MEMEORY CARE PROGRAM,0,0,650518.81,87814.21,20.79,283128.47,791780,0.293221431
4500,4500 SMH ENDOSCOPY,0,0,12403196.52,3358033.51,402424.05,3394973.85,17318217.09,0.635353894
4550,4550 SMH PARKES ASTHMA CENTER,0,0,1825421.26,297192.06,53465.66,774104.87,2017382.8,0.62317181
4560,4560 SMH PULMONARY DISEASE UNIT - SMH,0,0,4672987.56,1495091.3,206288.59,3614727.6,13494605,0.397863122
4660,4660 SMH AC CARDIOLOGY,0,0,-148216.61,741662.08,0.19,0,0,0
4810,4810 SMH PEDS PULMONARY,0,0,585783.7,73405.71,39.54,375385.69,903925,0.025009923
4811,4811 SMH PEDS ENDO,0,0,961796.54,115875.28,19.52,833294.02,1721880,0.040473979
4812,4812 SMH PEDS RHEUMATOLOGY,0,0,343905.85,41466.85,0.19,265812.7,542650,0.010632983
4813,4813 SMH PEDS GASTROINTESTINAL,0,0,6584.83,801.16,0,0,0,0
4820,4820 SMH PED TRT CTR/SPEC,0,0,-641926.71,430181.71,217785.69,-305849.31,0,1
4880,4880 SMH ADULTS W/ SPECIAL HEALTHCARE NEEDS (ASHCN),0,0,1021083.85,175920.25,1301.9,262981.4,584981,0.340192107
4920,4920 SMH MEDICAL ONCOLOGY,0,0,20436057.5,7689954.06,3308.61,4296491.94,7141800,0.787499573
5000,5000 SMH ORTHOPEDIC SHOP,0,0,3176525.4,462450.43,180229.19,0,0,1
5590,5590 SMH STRONG SPECIALTY SHOP,0,0,-169.05,0,0,0,0,0
6020,6020 SMH OPD-OB/GYN,17026,0,5026469.92,1196963.31,2030003.61,2726398.63,6242962.92,0
6110,6110 SMH STROKE SERVICES,0,0,2581902.09,328132.83,133170.1,1340241.04,3842480,0.059786166
6200,6200 SMH OPD-PED NEUROLOGY,0,0,6113330.2,812192.98,305625.46,1726702.91,3630935,0.702332896
6220,6220 SMH OPD-PEDS,0,0,4615719.84,4176106.52,2094090.36,3564890.89,9966018.65,0.042760275
6230,6230 SMH PEDS CRANIALFACIAL CLINIC,0,0,282299.03,42442.11,3397.52,52443.5,114085,0.24276014
6410,6410 SMH OPD-OCC MED,0,0,1462562.05,400165.63,496.35,935642.35,525810.64,0
6420,6420 SMH OPD-EYE,0,0,6257292.12,2228896.4,879636.98,302789.94,302789.94,0.984591087
6480,6480 SMH OPD-DENTISTRY,0,0,2669693.38,1535031.19,2305713.73,2496587.06,3097265.96,0.329177351
6501,6501 SMH AIR RED CREEK,0,0,4478858.46,575448.35,20677.7,2936079.61,5846966.57,0.204615384
6550,6550 SMH SLEEP LAB,0,0,3618447.2,693862.97,8044.97,103017.01,222360,0.977822865
6580,6580 SMH PAIN TREAT CENTER,0,0,2760242.96,548971.45,391243.35,770835.08,3986120.42,0.638895535
6600,6600 SMH SPORTS MED-BRIGHTON,0,0,2663118.29,672630.11,219000.87,0,,1
6610,6610 SMH SPORTS MED-GREECE,0,0,1011755.48,236379.93,81355.17,0,,1
6630,6630 SMH USM - EAST SIDE,0,0,1770951.78,394971.55,118502.25,0,0,0
6740,6740 SMH OPD-SURGERY,0,0,776348.57,934189.47,510925.16,12589.54,329475,0.838639374
6750,6750 SMH WOUND HEALING CENTER,0,0,1693246.77,308252.73,128850.02,-207318.5,0,1
6751,6751 SMH STRONG WEST MULTI-SPECIALITY SUITE,0,0,17201.96,14777.11,0.01,0,0,1
7500,7500 SMH ACT PROGRAM,0,0,963769.49,231021.42,236173.62,0,0,1
7520,7520 SMH ICM STRONG TIES,0,0,164667.41,16394,0.01,0,0,1
7530,7530 SMH SCM STRONG TIES,0,0,,0,0,0,0,1
7540,7540 SMH STIES CSS CASE MGMT,0,0,,0,0,0,0,1
7550,7550 SMH BLENDED CASE MGMT,0,0,,0,0,0,0,1
7560,7560 SMH COURTS PC & E,0,0,71392.37,10787.08,4974.43,0,0,1
7570,7570 SMH PSYCH CRISIS,0,0,209.36,283.55,49.96,0,0,1
7580,7580 SMH PSYCH HEALTH HOME,0,0,2271427.34,470440.04,158317.17,804689.98,0,0.767770461
7800,7800 SMH CPEP - TRIAGE/ EOB,0,0,6003999.49,2339971.03,651759.22,0,0,1
7830,7830 SMH CPEP - MOBILE/INTERIM CRISIS,0,0,1057450.18,248265.34,91536.05,0,0,1
7850,7850 SMH PSYCH MEDICINE PROG,0,0,1081950.2,238712.1,285225.64,0,0,1
7999,7999 SMH PSYCH DEFICIT FUNDING,0,0,0,0,0,1035697,0,0
