Group SMH GLOBAL OP SUMMARY,Group SMH_OP_ASC_OBS_LAB,Department Code & Name,CFY CASES,PFY CASES,CFY UNITS,PFY UNITS, CFY TOTAL CHARGES ,PFY TOTAL CHARGES, CFY NET REVENUE ,PFY NET REVENUE,CFY DIRECT COST,PFY DIRECT COST,CFY DIRECT MARGIN,PFY DIRECT MARGIN,CFY PROGRAM COST,PFY PROGRAM COST,CFY INDIRECT/ OH COST,PFY INDIRECT/ OH COST,CFY NET MARGIN,PFY NET MARGIN
001 Medicine,ASC,4500 SMH ENDOSCOPY,473,851,1038,1664,1463871,2589956,592828,1112167,387471,676278,205357,435888,11181,21942,100479,183095,93697,230851
001 Medicine,ASC,4560 SMH PULMONARY DISEASE UNIT - SMH,2,2,2,5,602,5897,377,2166,144,1210,233,957,5,53,37,386,190,517
001 Medicine,ASC,6650 SMH ENDOCRINE MNT,1,0,1,,198,,93,,91,,2,,0,,12,,-10,
001 Medicine,ASC,6720 SMH OPD-MEDICINE,1,2,2,4,223,555,47,138,141,354,-94,-216,38,151,67,249,-199,-616
001 Medicine,OBS,4310 SMH ENDO CENTER at SAWGRASS,1,0,19,,3368,,1010,,890,,120,,35,,138,,-53,
001 Medicine,OBS,4500 SMH ENDOSCOPY,173,149,2497,414,648713,484987,205296,144574,208020,126630,-2724,17943,4869,4109,43753,34284,-51346,-20449
001 Medicine,OBS,4560 SMH PULMONARY DISEASE UNIT - SMH,9,9,50,74,56790,65606,13730,28377,13245,13459,485,14918,478,594,3442,4299,-3436,10025
001 Medicine,OBS,5500 SMH AIDS CENTER,0,1,,2,,633,,82,,262,,-180,,8,,160,,-348
001 Medicine,OBS,6720 SMH OPD-MEDICINE,9,7,13,13,1632,2036,421,518,1028,1299,-607,-781,280,554,490,915,-1376,-2250
002 Cardio-Vascular Services,OUTPATIENT,4590 SMH VAD MAINT SUPPLIES,133,120,672,767,1646689,2074530,871996,1052704,761295,954114,110701,98590,31160,20855,162821,180968,-83280,-103234
002 Cardio-Vascular Services,OUTPATIENT,4600 SMH SMH ECHOCARDIOLOGY,3422,3379,15768,8070,7347635,6905131,2456363,2707518,1073378,1033666,1382985,1673852,37477,44326,408925,405205,936583,1224321
002 Cardio-Vascular Services,OUTPATIENT,4610 SMH CLINTON CROSSINGS ECHOCARDIOLOGY,4387,4580,14813,11804,8278418,9067194,3015749,3604626,1393725,1516214,1622025,2088412,136849,153984,312211,315355,1172965,1619072
002 Cardio-Vascular Services,OUTPATIENT,4620 SMH CARDIAC REHAB,1911,2161,9410,9482,2121354,1997730,910522,874383,1088211,965971,-177689,-91588,34039,31852,281292,253426,-493020,-376865
002 Cardio-Vascular Services,OUTPATIENT,4630 SMH ROCHESTER CARDPULM GROUP (RCPG),17129,16660,33632,31809,17714898,16615435,6057664,5838957,4288360,4128908,1769304,1710049,263362,156519,1042467,1293137,463476,260393
002 Cardio-Vascular Services,OUTPATIENT,4640 SMH NUCLEAR CARDIOLOGY,893,926,6238,10443,3391716,3545641,910270,1124830,784290,849893,125980,274937,41680,47472,376421,473815,-292120,-246350
002 Cardio-Vascular Services,OUTPATIENT,4650 SMH NUCLEAR CARDLGY - CLINCRSS,500,0,500,,289500,,90731,,10095,,80637,,247,,13559,,66830,
002 Cardio-Vascular Services,OUTPATIENT,4670 SMH VASCULAR SURGERY CANAL VIEW,8533,3564,10306,4299,6201115,2750371,2309255,1070606,1521674,510020,787581,560586,43814,2,417525,165121,326243,395463
002 Cardio-Vascular Services,OUTPATIENT,4680 SMH HEART STATION,23055,21185,26056,23692,4289198,3808251,1229596,1230201,303888,318205,925708,911996,36691,40864,152872,153656,736145,717477
002 Cardio-Vascular Services,OUTPATIENT,4690 SMH LAKESIDE CARDIOLOGY,898,859,2157,1764,1497221,1460090,496350,591693,318436,349853,177914,241839,23358,20135,296701,90814,-142146,130891
002 Cardio-Vascular Services,OUTPATIENT,4940 SMH URCC - COAGULATION,806,827,820,901,22985,15837,5281,6778,147254,131201,-141972,-124423,316,357,118669,36587,-260957,-161367
002 Cardio-Vascular Services,ASC,4570 SMH CATH/EP PRE-POST CARE,4140,4024,12489,5573,4570737,4370508,1837142,1798295,1439257,1265195,397885,533100,159503,141440,321643,294078,-83261,97582
002 Cardio-Vascular Services,ASC,4580 SMH CARDIAC CATH,3553,3410,324622,304362,43092430,43786085,16338584,17160949,6617325,8491075,9721259,8669875,368527,327130,3300181,2832268,6052551,5510477
002 Cardio-Vascular Services,ASC,4590 SMH VAD MAINT SUPPLIES,2,0,28,,69788,,29379,,32202,,-2823,,1807,,9443,,-14073,
002 Cardio-Vascular Services,ASC,4600 SMH SMH ECHOCARDIOLOGY,272,189,933,531,542726,386407,201971,152816,77480,57843,124491,94973,2805,2480,30607,22675,91079,69818
002 Cardio-Vascular Services,ASC,4610 SMH CLINTON CROSSINGS ECHOCARDIOLOGY,23,4,94,13,48531,10675,19289,3963,8485,1785,10804,2178,807,181,1841,371,8156,1626
002 Cardio-Vascular Services,ASC,4630 SMH ROCHESTER CARDPULM GROUP (RCPG),21,0,94,,61378,,21921,,15413,,6507,,914,,3617,,1977,
002 Cardio-Vascular Services,ASC,4640 SMH NUCLEAR CARDIOLOGY,10,4,89,44,41005,17124,13100,5205,9715,4101,3385,1103,513,229,4632,2286,-1760,-1412
002 Cardio-Vascular Services,ASC,4650 SMH NUCLEAR CARDLGY - CLINCRSS,17,0,17,,9843,,3846,,343,,3502,,8,,461,,3033,
002 Cardio-Vascular Services,ASC,4670 SMH VASCULAR SURGERY CANAL VIEW,1,0,1,,665,,149,,164,,-15,,5,,45,,-64,
002 Cardio-Vascular Services,ASC,4680 SMH HEART STATION,2200,2116,3264,3124,487848,439649,184412,173414,32998,36711,151414,136703,3984,4714,16600,17727,130830,114261
002 Cardio-Vascular Services,ASC,4700 SMH ELECTROPHYSIOLOGY,1897,1759,36612,20456,60738493,59410432,26856132,26095444,17196225,16690396,9659907,9405049,706503,700616,2874005,2960045,6079399,5744388
002 Cardio-Vascular Services,OBS,4570 SMH CATH/EP PRE-POST CARE,50,5,197,6,61521,7510,28875,2926,23058,2184,5817,742,2554,244,5152,508,-1890,-10
002 Cardio-Vascular Services,OBS,4600 SMH SMH ECHOCARDIOLOGY,936,820,4064,2102,1956970,1692243,629357,555214,290012,253321,339345,301893,9903,10863,108056,99304,221386,191726
002 Cardio-Vascular Services,OBS,4610 SMH CLINTON CROSSINGS ECHOCARDIOLOGY,0,6,,22,,13115,,5659,,2193,,3466,,223,,456,,2788
002 Cardio-Vascular Services,OBS,4630 SMH ROCHESTER CARDPULM GROUP (RCPG),3,2,2,3,44,446,11,239,10,111,1,129,1,4,3,35,-2,90
002 Cardio-Vascular Services,OBS,4640 SMH NUCLEAR CARDIOLOGY,122,116,904,1737,517055,510516,153985,146136,118674,122908,35311,23228,6339,6865,57252,68521,-28280,-52159
002 Cardio-Vascular Services,OBS,4680 SMH HEART STATION,5084,4324,7326,5747,1115650,879071,379669,299735,78578,73544,301091,226191,9487,9444,39528,35513,252075,181234
002 Cardio-Vascular Services,OBS,4690 SMH LAKESIDE CARDIOLOGY,1,0,0,,0,,0,,0,,0,,0,,0,,0,
003a Surgery,OUTPATIENT,6740 SMH OPD-SURGERY,1181,1407,2468,3365,1664133,1752968,587713,663422,668764,757075,-81051,-93653,436236,426128,694997,669570,-1212284,-1189351
003a Surgery,OUTPATIENT,6750 SMH WOUND HEALING CENTER,5628,5711,16994,19542,5495271,5647221,1679032,2355009,1645828,1676946,33204,678063,132337,127610,268232,305285,-367365,245169
003a Surgery,OUTPATIENT,6751 SMH STRONG WEST MULTI-SPECIALITY SUITE,479,59,970,122,199360,29497,76690,9418,125218,17202,-48529,-7784,764,0,395107,14777,-444400,-22562
003a Surgery,OUTPATIENT,6780 SMH ESOPHAGEAL DIAGNOSTIC LAB,1348,1436,10529,4557,4647486,4380816,1519681,1735794,1063009,851788,456672,884006,112699,70258,451008,416056,-107035,397691
003a Surgery,ASC,6740 SMH OPD-SURGERY,0,1,,1,,525,,97,,225,,-128,,127,,199,,-454
003a Surgery,ASC,6751 SMH STRONG WEST MULTI-SPECIALITY SUITE,1,0,0,,0,,0,,0,,0,,0,,0,,0,
003a Surgery,ASC,6780 SMH ESOPHAGEAL DIAGNOSTIC LAB,3,2,8,3,17895,5090,4527,2722,4026,1014,501,1709,428,84,1712,495,-1640,1130
003a Surgery,OBS,6750 SMH WOUND HEALING CENTER,1,1,2,0,153,0,46,0,60,0,-14,0,4,0,9,0,-27,0
003a Surgery,OBS,6780 SMH ESOPHAGEAL DIAGNOSTIC LAB,10,5,44,11,40510,21185,11977,6194,9278,4150,2699,2044,985,342,3943,2027,-2229,-325
003b NeuroSurgery,OUTPATIENT,6770 SMH OPD NEUROSURGERY,120,246,120,247,29934,58959,10347,21853,25061,31272,-14714,-9419,6558,9950,4304,22142,-25577,-41511
003b NeuroSurgery,OUTPATIENT,6810 SMH NEUROSURG PAIN CLINIC,2786,2503,37397,28349,7852957,6338556,2552633,2499185,1301422,1126906,1251211,1372279,774720,931640,448457,443840,28033,-3201
003b NeuroSurgery,ASC,6810 SMH NEUROSURG PAIN CLINIC,11,9,68,71,15226,15031,4115,7253,2469,2672,1646,4581,1515,2209,877,1052,-746,1319
003b NeuroSurgery,OBS,6810 SMH NEUROSURG PAIN CLINIC,5,2,23,7,5259,1503,1126,789,875,267,251,522,537,221,311,105,-597,196
003c ENT,OUTPATIENT,6380 SMH SPEECH THERAPY (SMH-CW),4715,4427,17941,17743,3127219,2843876,898300,1008194,714828,584262,183472,423932,64995,84612,156539,138477,-38061,200843
003c ENT,OUTPATIENT,6390 SMH OFFSITE AUDIOLOGY,11979,13383,53854,54398,6139677,7041014,2301236,3233958,2295951,2400428,5285,833530,327711,433719,359956,427252,-682382,-27441
003c ENT,OUTPATIENT,6391 SMH AUDIOLOGY LATTIMORE,1176,0,2720,,602994,,217403,,74377,,143026,,1,,51127,,91899,
003c ENT,OUTPATIENT,6400 SMH OPD-AUDIOLOGY,300,309,582,866,204249,245818,63604,89838,35876,58678,27728,31159,1256,1860,14880,23049,11592,6251
003c ENT,OUTPATIENT,6440 SMH OPD-ENT,476,1282,401,3096,62379,593372,27625,294005,456963,467842,-429338,-173837,384643,415036,158625,184073,-972605,-772946
003c ENT,ASC,6380 SMH SPEECH THERAPY (SMH-CW),3,3,7,7,1506,1588,571,589,345,327,226,262,31,47,75,78,119,137
003c ENT,ASC,6400 SMH OPD-AUDIOLOGY,16,9,33,19,16551,9359,6026,3974,2982,2233,3044,1741,104,71,1237,877,1702,793
003c ENT,OBS,6380 SMH SPEECH THERAPY (SMH-CW),114,103,393,219,52683,37907,14783,10474,12061,7788,2722,2685,1097,1128,2641,1846,-1015,-288
003c ENT,OBS,6390 SMH OFFSITE AUDIOLOGY,0,1,,1,,0,,0,,0,,0,,0,,0,,0
003c ENT,OBS,6400 SMH OPD-AUDIOLOGY,3,0,11,,369,,47,,63,,-16,,2,,26,,-44,
003c ENT,OBS,6440 SMH OPD-ENT,1,0,0,,0,,0,,0,,0,,0,,0,,0,
004 OB/GYN,OUTPATIENT,6020 SMH OPD-OB/GYN,5373,7508,48763,79862,2036913,2844986,630117,806915,1205331,1578984,-575214,-772069,503257,637693,237363,376007,-1315834,-1785768
004 OB/GYN,OUTPATIENT,6040 SMH OPD-OB ULTRA,14338,12869,22599,21076,7139746,6339431,2361435,2433148,1709092,1738696,652343,694451,585323,594358,643418,604551,-576398,-504458
004 OB/GYN,ASC,6020 SMH OPD-OB/GYN,6,2,11,3,3083,491,736,354,1822,272,-1087,82,772,110,364,65,-2222,-92
004 OB/GYN,ASC,6040 SMH OPD-OB ULTRA,48,50,82,65,24120,18435,10081,7422,5922,5063,4160,2360,2028,1731,2229,1760,-98,-1131
004 OB/GYN,OBS,6020 SMH OPD-OB/GYN,6,7,12,13,1070,2100,233,496,708,1156,-476,-661,300,467,142,275,-917,-1403
004 OB/GYN,OBS,6040 SMH OPD-OB ULTRA,215,164,355,319,115493,91974,35961,31550,27710,25254,8251,6296,9490,8633,10432,8781,-11671,-11117
005 Pediatrics,OUTPATIENT,1972 SMH NS CH 7S,1,0,1,,1545,,639,,651,,-12,,120,,448,,-579,
005 Pediatrics,OUTPATIENT,4321 SMH PEDIATRIC SURGICAL SUITE,1,0,0,,0,,0,,0,,0,,0,,0,,0,
005 Pediatrics,OUTPATIENT,4800 SMH PED PULMONARY UNIT,1908,1617,3775,3354,1568105,1358955,485705,516165,201731,186286,283974,329879,35884,25801,90027,68435,158064,235643
005 Pediatrics,OUTPATIENT,4801 SMH PEDIATRIC CATH EP LAB,1,0,4,,428,,0,,112,,-112,,0,,15,,-128,
005 Pediatrics,OUTPATIENT,4810 SMH PEDS PULMONARY,140,110,139,109,31318,23385,12480,10019,24200,14528,-11721,-4510,521,1,2838,1821,-15079,-6331
005 Pediatrics,OUTPATIENT,4811 SMH PEDS ENDO,714,658,1114,1012,76105,72447,28754,30604,41745,38904,-12991,-8300,1445,1,4998,4687,-19434,-12988
005 Pediatrics,OUTPATIENT,4812 SMH PEDS RHEUMATOLOGY,14,25,14,24,3414,5832,1212,2534,2373,3657,-1162,-1123,66,0,299,441,-1527,-1564
005 Pediatrics,OUTPATIENT,4813 SMH PEDS GASTROINTESTINAL,110,0,110,,32076,,15005,,23172,,-8167,,1,,2360,,-10528,
005 Pediatrics,OUTPATIENT,4820 SMH PED TRT CTR/SPEC,8542,8950,98636,28706,17835708,8259504,7085984,3339224,5019534,2019910,2066450,1319314,247533,214464,323405,-127694,1495512,1232544
005 Pediatrics,OUTPATIENT,4840 SMH AIDS CTR PED,38,87,64,166,9728,21980,2721,5357,7931,-2712,-5210,8069,463,575,1494,1007,-7167,6486
005 Pediatrics,OUTPATIENT,4860 SMH PEDS ECHOCARDIOLOGY,3780,3638,24798,28858,6838181,6543340,2393768,2497914,917190,857353,1476579,1640561,123665,99999,374565,358732,978349,1181830
005 Pediatrics,OUTPATIENT,4880 SMH ADULTS W/ SPECIAL HEALTHCARE NEEDS (ASHCN),1531,1188,4822,3437,336977,307642,116365,138714,391949,344599,-275585,-205886,2657,439,60860,59370,-339101,-265695
005 Pediatrics,OUTPATIENT,6210 SMH PEDS SLEEP CENTER,4856,4589,7877,9033,7547992,7145023,2117863,2483057,2116761,1957185,1101,525873,204564,185702,618243,597618,-821705,-257447
005 Pediatrics,OUTPATIENT,6220 SMH OPD-PEDS,1936,1677,7426,5173,748379,406208,282331,251123,368156,196261,-85825,54862,162501,89041,300872,177569,-549197,-211748
005 Pediatrics,OUTPATIENT,6230 SMH PEDS CRANIALFACIAL CLINIC,409,214,409,218,76194,36351,26930,17354,134967,68531,-108037,-51178,1760,825,20473,10303,-130270,-62306
005 Pediatrics,ASC,1971 SMH NS CH 7N,41,77,138,91,51258,124580,21413,47101,25206,63797,-3793,-16696,3147,6949,15910,46616,-22850,-70261
005 Pediatrics,ASC,1972 SMH NS CH 7S,81,97,325,107,115125,141820,39584,59689,47747,60462,-8163,-773,8808,8840,32809,46969,-49779,-56582
005 Pediatrics,ASC,1981 SMH NS CH 8N,48,80,81,80,67018,114240,27858,48601,28000,48437,-142,164,5077,7678,17959,36997,-23178,-44510
005 Pediatrics,ASC,1982 SMH NS CH 8S,102,67,610,74,160924,97370,58347,37368,84463,47198,-26116,-9830,9260,4676,48337,33758,-83713,-48264
005 Pediatrics,ASC,4252 SMH PEDIATRIC OPERATING ROOMS - NURSING,2131,0,4626,,6949906,,2559503,,1819588,,739915,,518,,666705,,72693,
005 Pediatrics,ASC,4321 SMH PEDIATRIC SURGICAL SUITE,1359,0,1317,,1048035,,402730,,239643,,163087,,876,,769636,,-607425,
005 Pediatrics,ASC,4800 SMH PED PULMONARY UNIT,7,4,8,4,16333,11684,5875,4113,2092,1575,3783,2538,374,218,939,579,2470,1741
005 Pediatrics,ASC,4801 SMH PEDIATRIC CATH EP LAB,54,0,3351,,743995,,332327,,150264,,182063,,20,,24456,,157586,
005 Pediatrics,ASC,4810 SMH PEDS PULMONARY,36,0,109,,514073,,253480,,0,,253480,,,,,,253480,
005 Pediatrics,ASC,4814 SMH PEDIATRIC ENDOSCOPY SUITE,480,0,1505,,1573175,,637214,,238402,,398812,,1,,101874,,296936,
005 Pediatrics,ASC,4820 SMH PED TRT CTR/SPEC,7,3,87,81,32905,17285,20004,3698,2454,4872,17549,-1174,346,458,452,-273,16751,-1360
005 Pediatrics,ASC,4860 SMH PEDS ECHOCARDIOLOGY,82,117,249,423,175702,292666,75916,133763,23644,38371,52272,95392,3189,4475,9656,16055,39428,74861
005 Pediatrics,ASC,6220 SMH OPD-PEDS,1,0,2,,88,,19,,43,,-24,,19,,35,,-78,
005 Pediatrics,OBS,1971 SMH NS CH 7N,108,61,622,75,128953,69020,39536,19932,62489,35185,-22953,-15253,7804,3832,39445,25709,-70202,-44795
005 Pediatrics,OBS,1972 SMH NS CH 7S,463,452,1880,465,211356,110110,69651,37545,86914,47022,-17263,-9477,16035,6875,59728,36529,-93026,-52881
005 Pediatrics,OBS,1981 SMH NS CH 8N,111,55,974,67,144006,63560,49758,20800,60549,26851,-10791,-6051,10970,4256,38829,20509,-60590,-30817
005 Pediatrics,OBS,1982 SMH NS CH 8S,176,79,1900,99,249537,81340,83815,25707,128393,39566,-44578,-13858,14080,3920,73470,28299,-132128,-46078
005 Pediatrics,OBS,4252 SMH PEDIATRIC OPERATING ROOMS - NURSING,255,0,319,,1296382,,475124,,350569,,124555,,100,,128433,,-3978,
005 Pediatrics,OBS,4321 SMH PEDIATRIC SURGICAL SUITE,258,0,344,,400536,,144039,,91939,,52100,,336,,295272,,-243508,
005 Pediatrics,OBS,4800 SMH PED PULMONARY UNIT,3,0,10,,6242,,1890,,782,,1108,,140,,351,,618,
005 Pediatrics,OBS,4801 SMH PEDIATRIC CATH EP LAB,71,0,6494,,1674597,,754141,,381742,,372398,,50,,59875,,312474,
005 Pediatrics,OBS,4810 SMH PEDS PULMONARY,10,0,56,,239480,,92967,,53,,92914,,,,,,92914,
005 Pediatrics,OBS,4814 SMH PEDIATRIC ENDOSCOPY SUITE,13,0,173,,20181,,8480,,7438,,1042,,0,,434,,608,
005 Pediatrics,OBS,4820 SMH PED TRT CTR/SPEC,0,2,,3,,722,,264,,178,,86,,19,,-11,,78
005 Pediatrics,OBS,4860 SMH PEDS ECHOCARDIOLOGY,50,9,148,23,114101,16948,49448,4521,15242,2225,34206,2296,2054,260,6224,931,25928,1105
006 Orthopedics,OUTPATIENT,5000 SMH ORTHOPEDIC SHOP,12145,11863,26064,24883,9183674,7702080,3277173,3143438,3286151,2860269,-8978,283169,171857,162285,436791,416409,-617627,-295525
006 Orthopedics,OUTPATIENT,5020 SMH OPD-ORTHOPEDICS,544,943,592,1039,98420,180622,27044,64677,889865,820291,-862821,-755614,455622,422762,815360,771200,-2133803,-1949576
006 Orthopedics,OUTPATIENT,5030 SMH O/P ORTHO PROC - CLCRS,5145,5517,64918,56742,16501825,16243751,6167103,6545534,1462106,1399427,4704998,5146108,922943,847407,840083,812200,2941972,3486500
006 Orthopedics,OUTPATIENT,6560 SMH HAND REHAB-CC,8518,7556,81624,73776,5879969,5277088,2090632,1792520,1451781,1262546,638850,529974,129653,125751,336345,319033,172852,85190
006 Orthopedics,OUTPATIENT,6570 SMH HAND REHAB-GREECE,892,694,8806,6472,649753,458975,210494,143392,109599,121766,100895,21626,11291,15100,28247,31350,61357,-24824
006 Orthopedics,OUTPATIENT,6600 SMH SPORTS MED-BRIGHTON,18869,17012,123821,123287,10323562,10015513,4183750,4037855,2869289,2662448,1314461,1375407,246134,218946,691447,672461,376880,484000
006 Orthopedics,OUTPATIENT,6610 SMH SPORTS MED-GREECE,7070,6009,50393,45674,4174649,3703944,1549191,1378148,1242795,1011468,306396,366680,91049,81332,261077,236313,-45729,49035
006 Orthopedics,OUTPATIENT,6630 SMH USM - EAST SIDE,10724,9457,80052,70000,6674374,5777736,2563390,2265023,1898543,1770517,664847,494506,141975,118473,405407,394874,117466,-18841
006 Orthopedics,OUTPATIENT,6660 SMH SPORTS REHAB STRONG WEST,3371,2867,26098,23255,2125145,1895472,822024,808993,423006,425056,399019,383937,112067,128969,554965,253847,-268013,1121
006 Orthopedics,OUTPATIENT,6670 SMH HAND REHAB - PENFIELD,1398,1221,12619,10972,910849,803171,337772,291537,180868,137186,156904,154351,19754,20076,60600,50667,76549,83608
006 Orthopedics,OUTPATIENT,6680 SMH HAND REHAB STRONG WEST,594,574,5033,6170,358669,438504,125426,170009,42461,13345,82965,156664,17519,7163,20546,14220,44899,135281
006 Orthopedics,ASC,5000 SMH ORTHOPEDIC SHOP,33,21,40,21,10211,4338,4620,1799,3678,1644,942,155,192,93,489,239,260,-178
006 Orthopedics,ASC,5030 SMH O/P ORTHO PROC - CLCRS,1,0,10,,3108,,1654,,265,,1389,,169,,153,,1067,
006 Orthopedics,OBS,5000 SMH ORTHOPEDIC SHOP,108,108,125,118,63151,49811,17127,14527,21855,18357,-4729,-3830,1143,1042,2906,2672,-8778,-7544
006 Orthopedics,OBS,6600 SMH SPORTS MED-BRIGHTON,1,0,0,,0,,0,,0,,0,,0,,0,,0,
007 Neurology,OUTPATIENT,4400 SMH EPILEPSY,4124,5374,7283,11620,3195300,4303329,1091990,1480342,875243,1102316,216747,378025,89294,124829,223119,276227,-95666,-23030
007 Neurology,OUTPATIENT,4410 SMH GENERAL NEUROLOGY,1181,1033,32156,29270,779327,772836,298757,313807,367333,306334,-68576,7473,26051,26777,36356,42847,-130983,-62152
007 Neurology,OUTPATIENT,4411 SMH NEURO IMMUNOLOGY,1286,1177,2011,2352,426686,429160,158294,166956,107514,103190,50780,63766,17901,15196,15462,15983,17417,32588
007 Neurology,OUTPATIENT,4412 SMH NEURO ONCOLOGY,388,373,670,741,179318,189981,63236,71687,98126,100451,-34891,-28765,7122,6460,12090,13967,-54103,-49192
007 Neurology,OUTPATIENT,4420 SMH NEUROMUSCULAR DISEASE,4180,3485,13631,15279,7951765,8002672,2304552,2627541,1644672,1530977,659880,1096564,345789,311449,462627,467501,-148536,317614
007 Neurology,OUTPATIENT,4470 SMH NEURO MIGRAINE CTR,1996,1682,273828,231231,5024577,4281148,2060440,1888216,1962137,1692666,98303,195550,173937,140846,678239,665880,-753873,-611176
007 Neurology,OUTPATIENT,4480 SMH MOVEMENT DISORDERS,3624,2780,300738,319133,6472988,6427342,2634723,2812190,2560646,2214178,74076,598012,236487,211504,385664,398297,-548075,-11788
007 Neurology,OUTPATIENT,6100 SMH NEURO BALANCE LAB,430,372,2408,2678,588635,556647,231088,253989,247348,277159,-16260,-23170,20578,50584,49915,52646,-86753,-126400
007 Neurology,OUTPATIENT,6120 SMH OPD-MED NEURO,5004,4224,829629,714555,61499110,44395706,27080952,20375417,15734106,8389960,11346845,11985456,2429058,2031408,3776292,2816885,5141495,7137164
007 Neurology,OUTPATIENT,6200 SMH OPD-PED NEUROLOGY,386,421,11845,1022,23223169,8825306,12583707,3535179,10518790,4292806,2064918,-757626,580082,214611,1805364,570325,-320528,-1542563
007 Neurology,ASC,4400 SMH EPILEPSY,21,23,108,84,36239,43168,15645,17252,9767,10986,5878,6267,996,1244,2490,2753,2392,2270
007 Neurology,ASC,6200 SMH OPD-PED NEUROLOGY,1,0,120,,262500,,76125,,72917,,3208,,0,,0,,3208,
007 Neurology,OBS,4400 SMH EPILEPSY,65,101,129,201,79267,120001,23219,35256,21040,30664,2179,4592,2147,3472,5364,7684,-5332,-6564
007 Neurology,OBS,4420 SMH NEUROMUSCULAR DISEASE,0,2,,6,,2119,,583,,409,,174,,83,,125,,-34
007 Neurology,OBS,4480 SMH MOVEMENT DISORDERS,2,0,405,,7130,,2139,,2738,,-599,,194,,317,,-1110,
007 Neurology,OBS,6120 SMH OPD-MED NEURO,0,1,,7,,1010,,165,,188,,-23,,46,,63,,-132
007a Stroke Services,OUTPATIENT,6110 SMH STROKE SERVICES,608,692,1024,1378,194885,239990,80902,65865,119848,154071,-38946,-88206,7168,7947,13686,19581,-59801,-115733
007a Stroke Services,OBS,6110 SMH STROKE SERVICES,2,0,3,,660,,173,,369,,-196,,22,,42,,-260,
008 Psychiatry,OUTPATIENT,7000 SMH PSYCH ADULT ID CCC,12341,10347,26515,24713,6538331,5293308,2357118,1882035,3193285,2522753,-836167,-640718,1177893,1079814,1128698,1096459,-3142758,-2816991
008 Psychiatry,OUTPATIENT,7010 SMH PSYCH CHILD/ADL OFFSITE,10583,11317,37027,25545,5778101,6212524,2538359,2576166,3855303,3007719,-1316945,-431553,598130,503043,769640,711994,-2684715,-1646590
008 Psychiatry,OUTPATIENT,7011 SMH PSYCH CHILD AND ADOLESCENT - EAST RIVER,10598,2154,20067,4211,5526361,1080587,2124035,442842,1474518,144427,649517,298415,50,1,983863,53978,-334396,244436
008 Psychiatry,OUTPATIENT,7030 SMH PSYCH OLDER ADULT SERV OFFSITE,6053,5538,12186,13189,2523661,2326598,903188,859296,1226567,1045889,-323379,-186593,99942,91029,239791,217310,-663112,-494932
008 Psychiatry,OUTPATIENT,7040 SMH PSYCH DEAF WELLNESS CENTER,1022,873,4455,3067,1186200,754664,308361,318028,168487,160097,139874,157930,56029,53044,70972,63650,12873,41236
